,experiment,d,repetitions,m,n,approx_type,kernel_type,l_minus_l_plus,function_type,perturbation_or_Qi,power
204,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",centred,1,1.0
205,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",centred,2,0.468
206,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",centred,3,0.002
207,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",ost,1,0.2
208,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",ost,2,0.052
209,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",ost,3,0.046
210,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",uniform,1,1.0
211,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",uniform,2,0.976
212,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",uniform,3,0.348
213,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",uniform,4,0.032
214,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",increasing,1,1.0
215,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",increasing,2,0.988
216,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",increasing,3,0.27
217,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",increasing,4,0.036
218,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",decreasing,1,1.0
219,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",decreasing,2,0.968
220,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",decreasing,3,0.296
221,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",decreasing,4,0.014
222,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",centred,1,1.0
223,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",centred,2,1.0
224,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",centred,3,0.446
225,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",centred,4,0.07
226,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",ost,1,0.63
227,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",ost,2,0.056
228,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",ost,3,0.072
229,1: uniform alternative,1.0,500,500,500,permutation,gaussian,"(-4, 0)",ost,4,0.072
230,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",uniform,1,1.0
231,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",uniform,2,0.772
232,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",uniform,3,0.002
233,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",increasing,1,1.0
234,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",increasing,2,0.784
235,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",increasing,3,0.01
236,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",decreasing,1,1.0
237,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",decreasing,2,0.748
238,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",decreasing,3,0.006
239,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",centred,1,1.0
240,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",centred,2,0.872
241,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",centred,3,0.012
242,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",ost,1,0.104
243,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",ost,2,0.05
244,1: uniform alternative,2.0,500,2000,2000,permutation,gaussian,"(-4, 0)",ost,3,0.04
245,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",uniform,1,1.0
246,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",uniform,2,0.99
247,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",uniform,3,0.234
248,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",uniform,4,0.022
249,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",increasing,1,1.0
250,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",increasing,2,0.986
251,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",increasing,3,0.234
252,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",increasing,4,0.012
253,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",decreasing,1,1.0
254,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",decreasing,2,0.962
255,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",decreasing,3,0.206
256,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",decreasing,4,0.018
257,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",centred,1,1.0
258,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",centred,2,0.992
259,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",centred,3,0.336
260,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",centred,4,0.024
